variant	exit_status	verdict	steps	rows	duration	elapsed_seconds	warnings	nans	fallback	cutbacks	arc_rows	final_lambda	final_radius	min_radius	min_dlambda	last_step	last_iter	last_residual	last_displacement	last_energy
CP5-arc-proportional-smoke	0	unsupported_zero_reference	1	0	00:01:05.173	68.004	1	0	0	0	0					1	None	None	None	None
CP5-arc-fd-r1p25e-3	1	failed	1	3		98.542	0	0	0	0	3	6.433438e-06	0.00125	0.00125	5.549069e-06	1	2	0.1975632	0.784085	0.5667397
