variant	exit_status	verdict	steps	accepted_steps	total_iters	tail_6_8_iters	min_dt	duration	warnings	nans	cutbacks	restarts	shortens	fallback_accepts	min_alpha	max_ls_trials
G2-stagnation-only	1	failed	11	10	183	61	1.25e-05	00:08:54.383	1	0	5	5	2	0	1	0
G2-backtracking-actual	1	failed	9	8	168	80	1.25e-05	00:17:18.914	3	0	5	5	2	0	0.125	4
