material	status	case	evaluation	branch	supported	eps	relerr	cosine	kp_norm	fd_norm	mismatch	note
LDPMMaterial	LDPM mat. status	elastic_loading	actual	tangent	0	nan	nan	nan	nan	nan	nan	unsupported
LDPMMaterial	LDPM mat. status	damage_growth	actual	elastic	1	1.0000000000e-08	8.7551904195e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	2.6587857545e-01	ok
LDPMMaterial	LDPM mat. status	damage_growth	actual	secant	1	1.0000000000e-08	8.7551904195e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	2.6587857545e-01	ok
LDPMMaterial	LDPM mat. status	damage_growth	actual	consistent	1	1.0000000000e-08	8.7563243255e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	2.6591301003e-01	ok
LDPMMaterial	LDPM mat. status	damage_growth	actual	tangent	0	nan	nan	nan	nan	nan	nan	unsupported
LDPMMaterial	LDPM mat. status	damage_growth_frozen	frozen	elastic	1	1.0000000000e-08	8.7551904195e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	2.6587857545e-01	ok
LDPMMaterial	LDPM mat. status	damage_growth_frozen	frozen	secant	1	1.0000000000e-08	8.7551904195e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	2.6587857545e-01	ok
LDPMMaterial	LDPM mat. status	damage_growth_frozen	frozen	consistent	0	nan	nan	nan	nan	nan	nan	not_applicable_to_frozen_evaluation
LDPMMaterial	LDPM mat. status	damage_growth_frozen	frozen	tangent	0	nan	nan	nan	nan	nan	nan	unsupported
LDPMMaterial	LDPM mat. status	damaged_unloading	actual	elastic	1	1.0000000000e-08	9.6571758369e-12	1.0000000000e+00	3.0368108826e+10	3.0368108826e+10	2.9327016676e-01	ok
LDPMMaterial	LDPM mat. status	damaged_unloading	actual	secant	1	1.0000000000e-08	9.6571758369e-12	1.0000000000e+00	3.0368108826e+10	3.0368108826e+10	2.9327016676e-01	ok
LDPMMaterial	LDPM mat. status	damaged_unloading	actual	consistent	1	1.0000000000e-08	2.2240227153e-12	1.0000000000e+00	3.0368108826e+10	3.0368108826e+10	6.7539363850e-02	ok
LDPMMaterial	LDPM mat. status	damaged_unloading	actual	tangent	0	nan	nan	nan	nan	nan	nan	unsupported
LDPMMaterial	LDPM mat. status	damaged_unloading_frozen	frozen	elastic	1	1.0000000000e-08	2.6308606359e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	7.9894262095e-02	ok
LDPMMaterial	LDPM mat. status	damaged_unloading_frozen	frozen	secant	1	1.0000000000e-08	2.6308606359e-12	1.0000000000e+00	3.0368108826e+10	3.0368108825e+10	7.9894262095e-02	ok
LDPMMaterial	LDPM mat. status	damaged_unloading_frozen	frozen	consistent	0	nan	nan	nan	nan	nan	nan	not_applicable_to_frozen_evaluation
LDPMMaterial	LDPM mat. status	damaged_unloading_frozen	frozen	tangent	0	nan	nan	nan	nan	nan	nan	unsupported
